group_name,portal_name,source_file,primary_url
Personal,PlaceHolder,PlaceHolder,PlaceHolder
Filesystem Forensics Tools,Eric Zimmerman,onetracker,https://ericzimmerman.github.io
Filesystem Forensics Tools,Aftermath for MacOS,onetracker,https://github.com/jamf/aftermath
Filesystem Forensics Tools,Fox-IT Acquire,onetracker,https://github.com/fox-it/acquire
Filesystem Forensics Tools,Timesketch,onetracker,https://timesketch.org/
Filesystem Forensics Tools,UAC,onetracker,https://github.com/tclahr/uac
Filesystem Forensics Tools,FTK Imager,onetracker,https://www.exterro.com/digital-forensics-software/ftk-imager
Filesystem Forensics Tools,Fox-IT Dissect,onetracker,https://github.com/fox-it/dissect
Filesystem Forensics Tools,Kroll KAPE,onetracker,https://www.kroll.com/en-gb/services/cyber-risk/incident-response-litigation-support/kroll-artifact-parser-extractor-kape
Filesystem Forensics Tools,OneDriveExplorer,onetracker,https://github.com/Beercow/OneDriveExplorer
Filesystem Forensics Tools,TestDisk and PhotoRec,onetracker,https://www.cgsecurity.org/
Filesystem Forensics Tools,SleuthKit,onetracker,https://www.sleuthkit.org/sleuthkit/download.php
Filesystem Forensics Tools,Plaso Log2Timeline,onetracker,https://github.com/log2timeline/plaso
Filesystem Forensics Tools,Autopsy,onetracker,https://www.sleuthkit.org/autopsy/
Filesystem Forensics Tools,Hindsight,onetracker,https://github.com/obsidianforensics/hindsight
Filesystem Forensics Tools,AD Timeline,onetracker,https://github.com/ANSSI-FR/ADTimeline
Filesystem Forensics Tools,IPED,onetracker,https://github.com/sepinf-inc/IPED
Filesystem Forensics Tools,turbinia,onetracker,https://github.com/google/turbinia
Filesystem Forensics Tools,KnockKnock,onetracker,https://objective-see.org/products/knockknock.html
Filesystem Forensics Tools,bulk_extractor,onetracker,https://github.com/simsong/bulk_extractor
Filesystem Forensics Tools,Meerkat,onetracker,https://github.com/TonyPhipps/Meerkat
Filesystem Forensics Tools,docker-explorer,onetracker,https://github.com/google/docker-explorer
Filesystem Forensics Tools,mac_apt for MacOS,onetracker,https://github.com/ydkhatri/mac_apt
Filesystem Forensics Tools,SPECTR3,onetracker,https://github.com/alpine-sec/SPECTR3
Filesystem Forensics Tools,artifactcollector,onetracker,https://github.com/forensicanalysis/artifactcollector
Filesystem Forensics Tools,srum-dump,onetracker,https://github.com/MarkBaggett/srum-dump
Filesystem Forensics Tools,chainbreaker,onetracker,https://github.com/n0fate/chainbreaker
Filesystem Forensics Tools,RegRipper3,onetracker,https://github.com/keydet89/RegRipper3.0
Memory Forensics Tools,MemProcFS,onetracker,https://github.com/ufrisk/MemProcFS
Memory Forensics Tools,Volatility3,onetracker,https://volatilityfoundation.org/the-volatility-framework/
Memory Forensics Tools,Microsoft AVML,onetracker,https://github.com/microsoft/avml
Memory Forensics Tools,Dump-It,onetracker,https://github.com/MagnetForensics/dumpit-linux
Memory Forensics Tools,WinPmem,onetracker,https://github.com/Velocidex/WinPmem
Memory Forensics Tools,LinPmem,onetracker,https://github.com/Velocidex/Linpmem
